product_type,brand,product,rating,review_count,url,image_url,price,description
toner,Wardah,Hydra Rose Petal Infused Toner,3.8,121,https://reviews.femaledaily.com/products/cleanser/toner/wardah/hydra-rose-petal-infused-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1610536804_Hydra_Rose_800x800.jpg,Rp. 102.000,"Wardah Hydra Rose Petal Infused Toner 100ml yaitu toner dengan 72 Hours Hydrating Active menghidrasi dan mengembalikan kelembapan kulit agar siap menyerap nutrisi dari produk skin care yang digunakan selanjutnya. Pure Rose Water dengan Real Rose Petal didalamnya bantu menenangkan serta mengembalikan kelembapan optimal kulit wajah.How To Use :Tepukkan toner secara merata pada wajah, sebelum menggunakan serum.Ingredient :72 hours hydration active, Pure rose water, Real Rose Petal----------------------------------------------------------------------------------------------------------------------------------------------------------------Wardah Hydra Rose Dewy Aqua Day Gel, pelembab dengan tekstur gel ringan dan watery mengandung 72 Hours Hydrating Active dan Rose Oil yang menghidrasi serta menjaga kelembapan kulit. Diperkaya dengan Bio-Hyaluronic Acd yang melapisi permukaan kulit, bekerja ekstra menjaganya tetap terhidrasi sepanjang hari. How To Use :Oleskan merata pada wajah dan leher yang telah dibersihkan, setelah menggunakan serum.Ingredient :72 Hour Hydrating Active, Rose Oil, Bio-Hyaluronic"
toner,Bioderma,Sensibio Tonique - Soothing Toner,4.2,120,https://reviews.femaledaily.com/products/cleanser/toner/bioderma/sensibio-tonique-soothing-toner,https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1709707510955-,Rp. 315.000,"Bioderma Sensibio Tonique - Soothing Toner merupakan toner yang menenangkan kulit serta memaksimalkan pembersihan wajah sekaligus menghidrasi.  Tersedia dalam ukuran: 100ml: 170,000250ml: 315,000How to use:Oleskan pada wajah dan leher yang bersih. teteskan sedikit pada telapak tangan atau pada kapas bersih lalu pijat-pijat ringan.Suitable for:Kulit normal dan kulit kering yang sensitif.Ingredients:-"
toner,Sariayu,Refreshing Aromatic Toner,3.4,120,https://reviews.femaledaily.com/products/cleanser/toner/sariayu/sariayu,https://image.femaledaily.com/dyn/210/images/prod-pics/1442468787_lg.jpg,Rp. 9.500,"Sariayu Refreshing Aromatic Toner merupakan penyegar wajah dengan kandungan minyak peppermint sebagai refreshing aromatic. Produk ini diperkaya ekstrak jeruk nipis untuk membantu mengurangi kelebihan minyak dan kesan mengkilat pada wajah dan untuk mengecilkan pori-pori serta Vitamin E sebagai anti oksidan.How to UseAplikasikan ke seluruh permukaan wajah dengan menggunakan kapas.Suitable forKulit normal, kulit berminyak.Ingredientswater, alcohol, propylene glycol, sorbitol, polysorbate 20, citrus aurantifolia fruit extract, tocopherol acetate, mentha piperita oil, methylparaben, sodium hydroxide, CI 19140, sodium chloride, sodium sulfate, CI 16255, fragrance."
toner,Jumiso,Waterfull Hyaluronic Acid Toner,4.7,118,https://reviews.femaledaily.com/products/cleanser/toner/jumiso/waterfull-hyaluronic-acid-toner,https://image.femaledaily.com/dyn/250/images/prod-pics/product_1668140694_acne_smoot_800x800.jpg,,
toner,Kojie San,Cleanser Toner Dual Action,3.7,118,https://reviews.femaledaily.com/products/cleanser/toner/kojie-san/cleanser-toner-dual-action-1,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1638861770_371816b965_800x800.jpg,Rp. 50.000,"Kojie San Cleanser Toner Dual Action adalah kombinasi dari pembersih wajah dan toner yang akan membuat kulit wajah terasa segar dengan cara menghilangkan minyak dan mencegah komedo. Bahan aktifnya akan membersihkan kulit, mengecilkan pori-pori, juga mengeksfoliasi sel kulit mati.How to use :Aplikasikan pada wajah dengan kapasSuitable for :Semua jenis kulitIngredients :Deionized water, Ethyl Alcohol, Sodium Lactate, Glycerin, PEG-7 Glyceryl Cocoate, Panax Ginseng Extract, PEG-40 Hydrogenated Castor Oil, Rosa Canina (Rose Hip) Extract, Fragrance, Allantoin, Octyl Methoxycinnamate, Menthol, EDTA, Lactic Acid, Methylchloroisothiazolinone, Methylisothiazolinone"
toner,Emina,Skin Buddy Face Toner,3.9,118,https://reviews.femaledaily.com/products/cleanser/toner/emina/emina-skin-buddy-face-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/08ada7c0c45a16b726fac734e6ab874f.jpg,Rp. 0,There's no description for this product.
toner,Himalaya,Purifying Neem Cleansing Astringent,3.3,117,https://reviews.femaledaily.com/products/cleanser/toner/himalaya/purifying-neem-cleansing-astringent,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1441354262_purifying__800x800.jpg,Rp. 13.000,"Himalaya Purifying Neem Cleansing Astringent diformulasikan khusus untuk membersihkan pori-pori secara mendalam dan mengontrol kelebihan minyak di wajah. Produk ini mengandung Neem yang dikenal sebagai antibakteri untuk mengontrol jerawat dan komedo, Lemon dan Lodh untuk mengencangkan pori-pori dan mengencangkan kulit. Produk ini memberikan hasil kulit menjadi segar, bersih, dan terbebas dari masalah kulit.How To Use:Tuangkan pada kapas, lalu tepuk tepuk kapas pada wajah yang telah dibersihkanSuitable For:Kulit berminyakKey Ingredients:Neem, Lemon"
toner,Trueve,Recharge Hydrating Essence Toner,3.9,117,https://reviews.femaledaily.com/products/cleanser/toner/trueve/recharge-hydrating-essence-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1644217546_Recharge_H_800x800.jpg,Rp. 177.000,"Trueve Recharge Hydrating Essence Toner diformulasikan untuk mencerahkan wajah dan memperbaiki tekstur kulit menjadi lebih halus. Dengan kandungan utama Galactomyces 10%, Trueve Recharge Hydrating Essence Toner cocok untuk semua jenis kulit dan aman bagi ibu hamil maupun menyusui.How to use:Teteskan 5 tetes toner ke kapas/tangan, kemudian usapkan dan pijat perlahan hingga meresap dan merata pada kulit wajah, kemudian diamkan beberapa saat agar serum meresap ke kulit.Suitable for:Semua jenis kulitIngredients:Galactomyces 10%, Hyaluronate, Ceramide"
toner,Natur Beauty,Renew Skin Hydrating Toner,4.1,116,https://reviews.femaledaily.com/products/cleanser/toner/natur-beauty/renew-skin-hydrating-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1617181700_Renew_1__800x800.jpg,Rp. 139.000,"Natur Renew Skin Hydrating Toner merupakan toner yang efektif untuk memperbaiki tekstur kulit, menguatkan skin barrier, meningkatkan produksi kolagen, mencegah tanda-tanda penuaan dini, mengurangi blackhead, menhidrasi dan mengunci kelembabkan lapisan kulit, membantu menyembuhkan kerusakan kulit, mengurangi jerawat meradang, blind acne dan jerawat hormonal, serta mengurangi kerutan, age spot, dan garis halus.How to use:Tuang produk pada kapas atau telapak tangan. Usapkan pada wajah yang telah dibersihkanSuitable for:Semua jenis kulitIngredients:Ginseng, Galactomyces, Niacinamide, Natural Hyaluronic, Allantoin"
toner,NIVEA,Refreshing Toner,3.8,115,https://reviews.femaledaily.com/products/cleanser/toner/nivea/refreshing-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1620284812_NIVEA_800x800.jpg,Rp. 19.500,"NIVEA Refreshing Toner adalah adalah penyegar untuk menjernihkan kulit normal ke kombinasi dengan cara yang efektif namun halus. Diperkaya dengan Vitamin dan Ekstrak Lotus, menjadikan kulit bergizi secara optimal, menjaga keseimbangan kelembaban alaminya seraya mengangkat kotoran sehari-hari dari kulit. Formulanya menyegarkan serta memperkuat kulit. Telah teruji secara dermatologis dan optalmologis. How To Use:Gunakan tiap pagi dan malam sebagai bagian dari rutinitas pembersihan wajah. Oleskan dengan lembut sambil memijat ke kulit dengan ujung jari atau kapas. Hapus dengan menggunakan kapas. Untuk hasil yang maksimal, gunakan rangkaian NIVEA Visage komplit untuk kulit normal ke kombinasi. Suitable For:Kulit normal, kulit kombinasiIngredients:Ekstrak Lotus & Vitamin, Aqua, Stearic Acid, Lauric Acid, Myristic Acid, Potassium Hydroxide, Glycerin, Acrylates Copolymer, PEG-7 Glyceryl Cocoate, Potassium Chloride, Cetearyl Alcohol, Cocamide MIPA, Glycol Distearate, Glyceryl Stearate, Trisodium EDTA, Hydroxyethylcellulose, BHT, Tocopheryl Acetate, Propylene Glycol, Panthenol, Nelumbium Speciosum Flower Extract, Parfum"
